GPSTime,Left T2C (deg C),Left NG (%),Left IGV (deg)
9/26/2011 14:06,32.15845,52.55938,62.25221
9/26/2011 14:06,32.15845,52.98042,62.22222
9/26/2011 14:06,31.60712,52.48986,62.25405
9/26/2011 14:06,31.60712,53.74582,62.32694
9/26/2011 14:06,31.60712,52.55938,62.25405
9/26/2011 14:06,30.95386,55.11435,62.21765
9/26/2011 14:06,30.95386,56.15424,61.53445
9/26/2011 14:06,30.95386,55.26787,62.21765
9/26/2011 14:06,30.19739,54.18616,61.39239
9/26/2011 14:06,30.19739,48.80976,62.06018
9/26/2011 14:06,30.19739,53.52833,61.39239
9/26/2011 14:06,29.57678,44.63705,62.08937
9/26/2011 14:06,29.57678,41.0932,62.07275
9/26/2011 14:06,29.57678,44.1569,62.08937
9/26/2011 14:06,28.97482,37.98564,62.09976
9/26/2011 14:06,28.97482,35.35699,61.97192
9/26/2011 14:06,28.47931,33.00444,62.00307
9/26/2011 14:06,28.47931,30.72974,62.10433
9/26/2011 14:06,28.1163,29.01462,62.03958
9/26/2011 14:06,28.1163,27.33571,62.14949
9/26/2011 14:06,27.89227,25.92487,61.98816
9/26/2011 14:06,27.89227,24.63721,62.0141
9/26/2011 14:06,27.64404,23.4022,61.992
9/26/2011 14:06,27.64404,22.39831,62.02556
9/26/2011 14:06,27.5932,21.33076,61.94194
9/26/2011 14:06,27.5932,20.4724,62.0247
9/26/2011 14:06,27.58478,19.53191,62.05505
9/26/2011 14:06,27.58478,18.78305,62.06556
9/26/2011 14:06,27.44321,18.09225,61.98551
9/26/2011 14:06,27.44321,17.36898,62.02822
9/26/2011 14:06,27.53769,16.8193,62.00786
9/26/2011 14:06,27.53769,16.28773,61.97345
9/26/2011 14:06,27.64661,15.73863,62.03613
9/26/2011 14:06,27.64661,15.2273,62.01698
9/26/2011 14:06,27.59259,14.80684,61.99564
9/26/2011 14:06,27.59259,14.3292,62.00709
9/26/2011 14:06,27.8389,13.896,61.96706
9/26/2011 14:06,27.8389,13.50045,62.00926
9/26/2011 14:06,27.87961,13.21423,62.05761
9/26/2011 14:06,27.87961,12.78838,61.99609
9/26/2011 14:06,27.99023,12.5194,62.04949
9/26/2011 14:06,27.99023,12.19244,62.03272
9/26/2011 14:06,28.1011,11.93932,62.02145
9/26/2011 14:06,28.1011,11.69535,61.98223
9/26/2011 14:06,28.14468,11.41609,61.97532
9/26/2011 14:06,28.14468,11.16868,62.02578
9/26/2011 14:06,28.2189,10.94283,62.06077
9/26/2011 14:06,28.2189,10.72882,61.98291
9/26/2011 14:06,28.31219,10.51838,62.01447
9/26/2011 14:06,28.31219,10.36904,61.93792
9/26/2011 14:06,28.25189,10.17061,61.93787
9/26/2011 14:06,28.25189,9.982977,62.04225
9/26/2011 14:06,28.23843,9.84429,62.05806
9/26/2011 14:06,28.23843,9.667614,62.00656
9/26/2011 14:07,28.14774,9.539022,61.97464
9/26/2011 14:07,28.14774,9.373041,62.00736
9/26/2011 14:07,28.11978,9.214164,62.05469
9/26/2011 14:07,28.11978,9.102148,62.05671
9/26/2011 14:07,28.16034,8.992145,62.04384
9/26/2011 14:07,28.16034,8.88543,62.05069
9/26/2011 14:07,28.14151,8.7541,62.0553
9/26/2011 14:07,28.14151,8.659224,61.99587
9/26/2011 14:07,28.0961,8.562684,62.03352
9/26/2011 14:07,28.0961,8.470082,61.97987
9/26/2011 14:07,28.18768,8.350659,62.04784
9/26/2011 14:07,28.18768,8.260269,61.98693
9/26/2011 14:07,28.16122,8.169011,62.02187
9/26/2011 14:07,28.16122,8.083039,62.03429
9/26/2011 14:07,28.02286,7.99295,62.03598
9/26/2011 14:07,28.02286,7.905372,62.01511
9/26/2011 14:07,27.84555,7.852187,62.0358
9/26/2011 14:07,27.84555,7.769678,61.96048
9/26/2011 14:07,27.90988,7.683922,62.03717
9/26/2011 14:07,27.90988,7.605379,61.98743
9/26/2011 14:07,27.84906,7.526046,61.93102
9/26/2011 14:07,27.84906,7.451615,61.90931
9/26/2011 14:07,27.65359,7.398359,62.04884
9/26/2011 14:07,27.65359,7.312469,62.01954
9/26/2011 14:07,27.45734,7.233382,62.04912
9/26/2011 14:07,27.45734,7.150829,62.08696
9/26/2011 14:07,27.33185,7.102195,62.0458
9/26/2011 14:07,27.33185,7.016385,62.01946
9/26/2011 14:07,27.20163,6.965071,62.05062
9/26/2011 14:07,27.20163,6.889294,62.11626
9/26/2011 14:07,27.16003,6.839423,62.04934
9/26/2011 14:07,27.16003,6.75674,61.97716
9/26/2011 14:07,27.02884,6.703852,62.03113
9/26/2011 14:07,27.02884,6.626607,62.0669
9/26/2011 14:07,27.07114,6.576092,62.02613
9/26/2011 14:07,27.07114,6.506723,62.03277
9/26/2011 14:07,26.95129,6.46257,62.00627
9/26/2011 14:07,26.95129,6.424208,62.02692
9/26/2011 14:07,27.03485,6.360368,61.99385
9/26/2011 14:07,27.03485,6.319849,62.07016
9/26/2011 14:07,27.05679,6.259372,62.00972
9/26/2011 14:07,27.05679,6.203919,62.0408
9/26/2011 14:07,26.96475,6.158028,62.00122
9/26/2011 14:07,26.96475,6.114067,62.00941
9/26/2011 14:07,27.07562,6.071658,62.03323
9/26/2011 14:07,27.07562,6.020685,62.00648
9/26/2011 14:07,27.23273,5.978356,62.03207
9/26/2011 14:07,27.23273,5.925684,61.95468
9/26/2011 14:07,27.17743,5.890791,62.02716
9/26/2011 14:07,27.17743,5.849113,62.12777
9/26/2011 14:07,27.13861,5.816818,61.96953
9/26/2011 14:07,27.13861,5.779541,62.10246
9/26/2011 14:07,27.17059,5.747453,62.04255
9/26/2011 14:07,27.17059,5.71517,61.96509
9/26/2011 14:07,27.27875,5.687321,62.06723
9/26/2011 14:07,27.27875,5.665667,62.02503
9/26/2011 14:07,27.33929,5.651412,62.03023
9/26/2011 14:08,27.33929,5.611454,62.08314
9/26/2011 14:08,27.22708,5.578323,61.9697
9/26/2011 14:08,27.22708,5.538358,62.03992
9/26/2011 14:08,27.19092,5.495153,62.01559
9/26/2011 14:08,27.19092,5.449872,61.9926
9/26/2011 14:08,27.22351,5.408278,62.07315
9/26/2011 14:08,27.22351,5.351149,62.03699
9/26/2011 14:08,27.27847,5.287453,62.03024
9/26/2011 14:08,27.27847,5.201739,61.93577
9/26/2011 14:08,27.14758,5.11041,62.07512
9/26/2011 14:08,27.14758,4.99463,61.97992
9/26/2011 14:08,27.0737,4.943812,62.09587
9/26/2011 14:08,27.0737,4.834396,62.01728
9/26/2011 14:08,27.21008,4.715666,62.04779
9/26/2011 14:08,27.21008,4.570293,61.91356
9/26/2011 14:08,27.1611,4.494375,61.99263
9/26/2011 14:08,27.1611,4.369659,62.06998
9/26/2011 14:08,27.13654,4.310018,62.02663
9/26/2011 14:08,27.13654,4.237453,62.02389
9/26/2011 14:08,27.1416,4.185017,61.99767
9/26/2011 14:08,27.1416,4.165978,61.98447
9/26/2011 14:08,27.16537,4.140477,62.07704
9/26/2011 14:08,27.16537,4.131568,62.04099
9/26/2011 14:08,27.17194,4.130851,62.02386
9/26/2011 14:08,27.17194,4.139469,62.062
9/26/2011 14:08,27.13309,4.161901,62.01449
9/26/2011 14:08,27.13309,4.168313,62.06258
9/26/2011 14:08,27.05524,4.175622,62.06955
9/26/2011 14:08,27.05524,4.177821,62.05776
9/26/2011 14:08,26.99945,4.18752,62.01595
9/26/2011 14:08,26.99945,4.193863,61.97717
9/26/2011 14:08,27.02618,4.201708,62.0769
9/26/2011 14:08,27.02618,4.20869,61.98935
9/26/2011 14:08,27.04163,4.195932,62.02809
9/26/2011 14:08,27.04163,4.176355,61.9945
9/26/2011 14:08,27.00412,4.15203,62.05047
9/26/2011 14:08,27.00412,4.132285,61.98595
9/26/2011 14:08,26.94836,4.1277,62.05951
9/26/2011 14:08,26.94836,4.126269,62.11509
9/26/2011 14:08,26.84543,4.126985,62.03176
9/26/2011 14:08,26.84543,4.132285,62.02185
9/26/2011 14:08,26.94769,4.127843,62.06055
9/26/2011 14:08,26.94769,4.125268,61.93618
9/26/2011 14:08,26.97113,4.124268,61.98158
9/26/2011 14:08,26.97113,4.134294,62.03589
9/26/2011 14:08,26.98633,4.136018,62.05126
9/26/2011 14:08,26.98633,4.14769,62.08462
9/26/2011 14:08,26.996,4.145668,62.03875
9/26/2011 14:08,26.996,4.138031,61.95976
9/26/2011 14:08,27.05145,4.133863,62.05312
9/26/2011 14:08,27.05145,4.124697,62.06089
9/26/2011 14:08,27.06973,4.126985,62.05278
9/26/2011 14:08,27.06973,4.143215,62.04399
9/26/2011 14:08,27.10291,4.148702,62.0594
9/26/2011 14:08,27.10291,4.157249,62.05379
9/26/2011 14:08,27.16434,4.158702,62.03446
9/26/2011 14:08,27.16434,4.146245,62.04015
9/26/2011 14:09,27.21225,4.138462,61.99175
9/26/2011 14:09,27.21225,4.11358,62.03908
9/26/2011 14:09,27.22253,4.092509,62.03648
9/26/2011 14:09,27.22253,4.037271,61.97483
9/26/2011 14:09,27.20633,4.016295,62.09974
9/26/2011 14:09,27.20633,3.956364,61.98319
9/26/2011 14:09,27.20874,3.928944,62.03521
9/26/2011 14:09,27.20874,3.876868,61.95919
9/26/2011 14:09,27.2645,3.848793,62.0628
9/26/2011 14:09,27.2645,3.814998,61.98383
9/26/2011 14:09,27.20709,3.776752,62.0089
9/26/2011 14:09,27.20709,3.758152,61.98843
9/26/2011 14:09,27.09943,3.705628,62.04372
9/26/2011 14:09,27.09943,3.677923,62.05007
9/26/2011 14:09,27.13397,3.663887,62.04034
9/26/2011 14:09,27.13397,3.612411,62.06905
9/26/2011 14:09,27.10034,3.583163,61.94474
9/26/2011 14:09,27.10034,3.549192,62.01677
9/26/2011 14:09,27.20578,3.481517,62.04219
